name,category,strength,weight,cost,temp_limit,corrosion,hardness,ductility,thermal_conductivity,electrical_conductivity,availability,use_cases,recyclability,workability,fatigue_resistance,impact_resistance,sustainability_score
Steel,Metal,500,7.8,50,500,6,7,5,50,10,9,"Construction, tools, automotive",10,7,8,6,85
Stainless Steel,Metal,600,7.9,100,600,10,8,6,16,6,8,"Kitchen, medical, marine",8,6,8,5,80
Aluminum,Metal,300,2.7,70,300,8,5,8,200,35,9,"Aerospace, packaging, vehicles",9,8,6,7,88
Titanium,Metal,900,4.5,150,600,9,9,7,20,2,6,"Aerospace, implants, sports",7,4,9,8,75
Copper,Metal,200,8.9,80,250,8,4,8,400,58,8,"Electrical, plumbing, electronics",9,9,5,6,90
Brass,Metal,250,8.5,90,300,7,5,7,120,15,7,"Plumbing, decorative, instruments",8,9,5,5,82
Bronze,Metal,300,8.8,110,300,8,6,5,50,5,6,"Sculptures, bearings, marine",7,8,6,4,78
Magnesium,Metal,200,1.7,120,200,6,4,6,160,22,7,"Aerospace, automotive, portable",6,8,5,4,70
Cast Iron,Metal,400,7.2,40,450,5,6,2,50,10,9,"Engine blocks, cookware, construction",9,5,7,8,80
Nickel Alloy,Metal,750,8.2,180,700,10,9,8,10,5,5,"Jet engines, turbines, chemical",6,4,9,7,72
Carbon Fiber,Composite,800,1.6,250,350,9,9,3,10,0.1,4,"Aerospace, sports, automotive",3,3,9,6,55
Glass Fiber,Composite,350,2.0,60,200,9,3,2,0.3,0,8,"Boats, insulation, construction",2,5,6,4,48
Kevlar,Composite,700,1.4,200,300,9,7,4,0.04,0,5,"Vests, aerospace, cables",2,3,8,8,50
Epoxy Composite,Composite,300,1.8,80,120,8,5,3,0.3,0,7,"Electronics, aerospace, construction",2,4,5,3,45
Fiberglass,Composite,350,2.1,70,150,9,4,2,0.2,0,8,"Automotive, marine, aerospace",2,5,6,4,48
Aluminum Alloy 6061,Metal,300,2.7,75,300,8,5,8,200,35,9,"Structural, aerospace, automotive",9,8,6,7,88
Aluminum Alloy 7075,Metal,350,2.8,85,300,7,5,7,180,30,8,"Aircraft structures",8,6,7,6,85
Titanium Grade 2,Metal,850,4.5,160,600,9,8,8,20,2,7,"Medical implants, aerospace",7,4,9,8,75
Tungsten,Metal,800,19.3,200,3400,9,9,1,170,20,5,"High-temp, filaments, electronics",7,2,8,3,68
Molybdenum,Metal,650,10.2,180,2600,8,8,2,140,32,6,"High-temp components, electronics",8,3,8,3,72
PET Plastic,Polymer,50,1.4,10,80,7,2,1,0.2,0,9,"Bottles, packaging, textiles",8,8,3,2,75
ABS Plastic,Polymer,60,1.1,15,100,6,2,2,0.2,0,9,"Automotive, electronics, toys",5,8,2,3,60
Polycarbonate,Polymer,70,1.2,25,120,5,3,2,0.2,0,8,"Windows, protective gear, electronics",4,7,3,4,58
